LV ActivePower (kW);;abs;abs^2;;MAPE;mse;RMSE
0.99905758;1.099790168;0.100732588;0.010147054;;0.067303813;0.012820361;0.113227032
0.998810701;1.102579147;0.103768446;0.01076789;;;;
0.998966304;1.113230502;0.114264198;0.013056307;;;;
0.998983774;1.112929553;0.113945779;0.012983641;;;;
0.998957163;1.110682397;0.111725234;0.012482528;;;;
0.991087637;1.078659953;0.087572316;0.00766891;;;;
0.998535044;1.121218876;0.122683831;0.015051322;;;;
0.998863449;1.106974953;0.108111504;0.011688097;;;;
0.996510378;1.097404803;0.100894425;0.010179685;;;;
0.999080602;1.101610962;0.10253036;0.010512475;;;;
0.998839885;1.1103893;0.111549416;0.012443272;;;;
0.999080061;1.09927794;0.100197879;0.010039615;;;;
0.998052188;1.061333744;0.063281556;0.004004555;;;;
0.999056768;1.100748396;0.101691628;0.010341187;;;;
0.997412035;1.065122061;0.067710026;0.004584648;;;;
0.99040679;1.045405499;0.05499871;0.003024858;;;;
0.998034989;1.053348326;0.055313337;0.003059565;;;;
0.99850674;1.076617899;0.078111158;0.006101353;;;;
0.985060564;0.988420871;0.003360307;1.12917E-05;;;;
0.992307136;1.095859068;0.103551932;0.010723003;;;;
0.971442669;1.096141908;0.124699238;0.0155499;;;;
0.999289969;1.085005445;0.085715476;0.007347143;;;;
0.97014002;1.037455431;0.067315411;0.004531365;;;;
0.970940718;1.045708301;0.074767583;0.005590191;;;;
0.990659425;1.100329592;0.109670168;0.012027546;;;;
0.992121604;1.122485067;0.130363462;0.016994632;;;;
0.993477544;1.049374976;0.055897433;0.003124523;;;;
0.998910577;1.111427619;0.112517042;0.012660085;;;;
0.996748658;1.087355695;0.090607038;0.008209635;;;;
0.991794622;1.041650983;0.049856361;0.002485657;;;;
0.997946489;1.088096102;0.090149613;0.008126953;;;;
0.998827088;1.09435648;0.095529392;0.009125865;;;;
0.997451444;1.091407155;0.093955711;0.008827676;;;;
0.998988243;1.081919874;0.082931632;0.006877656;;;;
0.999224559;1.09791946;0.098694901;0.009740684;;;;
0.999249477;1.100381368;0.101131891;0.010227659;;;;
0.999182916;1.087106863;0.087923948;0.007730621;;;;
0.99908392;1.042838121;0.043754201;0.00191443;;;;
0.999100578;1.067258534;0.068157956;0.004645507;;;;
0.999285297;1.064898155;0.065612859;0.004305047;;;;
0.99916768;1.075759411;0.07659173;0.005866293;;;;
0.998472613;1.074259642;0.075787029;0.005743674;;;;
0.998365019;1.070433826;0.072068808;0.005193913;;;;
0.998558337;1.068151549;0.069593212;0.004843215;;;;
0.990123008;1.03380628;0.043683273;0.001908228;;;;
0.989883103;1.029407436;0.039524333;0.001562173;;;;
0.999183796;1.07559318;0.076409384;0.005838394;;;;
0.999402845;1.075255939;0.075853094;0.005753692;;;;
0.999435889;1.073403446;0.073967557;0.0054712;;;;
0.998820722;1.056305303;0.05748458;0.003304477;;;;
0.998949714;1.06913595;0.070186236;0.004926108;;;;
0.970701626;0.998555791;0.027854166;0.000775855;;;;
0.964559983;0.972787134;0.008227151;6.7686E-05;;;;
0.921724968;0.941480718;0.01975575;0.00039029;;;;
0.9284962;0.983775773;0.055279573;0.003055831;;;;
0.995604861;1.125699036;0.130094175;0.016924494;;;;
0.999300803;1.102801877;0.103501075;0.010712472;;;;
0.999185963;1.106380885;0.107194923;0.011490751;;;;
